Sentence,Emotion
스타크래프트를 조작할 수준의 로봇팔이 나온다는게 더 대박인거 같은데;;;:,놀람
양상치때문에 안된다 쓰레기,분노
벌써 도망갔잖아요! 난 아니란 말예요! 범인 잡을려고 쫓아가는 중이라니까요!,분노
아유 선생님도.. 아~,행복
엥??? 백만명?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저분들 숫자개념없으신가 ㅎㅎ,놀람
몰랐다.진정 나다운 모습이 무엇인지고맙다.,행복
안그러는 사람이 프로필 사진도 자주바꾸고..,공포
맘대로 해! 인터넷에 올리든 포르노 사이트에 팔아먹든... 당신 맘대루 해! 그 즉시 콩밥먹게 해줄테니깐!,분노
나한테 뭐 더 바라지도 말어.,중립
선생님두요? 어머 다들 너무 좋아하겠다.,놀람
글쎄 됐다구요! 들어오든 말든 저하고 싶은대로 하구 살라 그러세요!,분노
자기가 가능했다고 다른 사람한테도 되네 어쩌네 하는 건 은근 거만한 태도거든요?,중립
모여?반뻐꺼였어? 헤이야치 스타일이네,놀람
제가 사회공포증이 좀 있어서 정신과를 가보려고 하는데요,공포
아이유보다 훨 이쁜데,행복
"?지금 ""그알"" 보고 있는데 내 옆에 김기춘이 있다면 진짜 아가리 쭉빵 날리고 싶다 ?",분노
기존 멤버들이 워낙 합이 좋고 예능 베테랑들이라.,행복
임영민 떨어질 확률크나요?,공포
"뭐? 이런... 야, 내 옷에 묻었어?",분노
 라고 한다면다시 잡히시나요?,놀람
"KFA에 뭘 바라냐,",분노
그 몸으로 어딜 간다 그러시는 거예요?,놀람
으엉엉ㅠㅠ연아선수~,행복
이런 질문을 드릴테니 이렇게 대답하세요.안봐도 비디오다.또라이몽,분노
삼성....품질에 대한 신뢰가 떨어지는 순간이네요,혐오
뭐시 중언디 힘들어 디져불겠는디~~~,놀람
네.,중립
수술 하면 괜찮아지십니까.,중립
건들나라가없어 미국을건드냐ㅋㅋ,놀람
일본놈들 진짜 싸가지 없어 정이 안가!!왠수야 왠수!일본넘들 사과를 정중하게 해 !!한국에 일본놈들 일본으로 돌아가 정말 싫다.,분노
약속 미루고 나랑 같이 가면 안돼? 내가 여기랑 비슷한데 찾으려고 하루종일 진짜 열심히 돌아다녔거든. 그거 생각해서라도 같이 가서 봐주면 안돼?,슬픔
반기문 도착했냐??,놀람
 어떤 방법으로도 해결이 되지 않아 부모형제와의 인연을 잠시 접어두었습니다...,슬픔
"연습하라고, 나를 주제로, ",분노
"응, 맞아. 돈도 이유긴 하지만 난 다른 학교 친구도 있으면 좋겠거든~. 그래서 여기저기 얼굴 비추고 다니는 거야~. 그렇지만… 혹시 친구 될 수 있을까 생각했는데……. ……나, 별로 안 좋아하나 봐.",슬픔
네? 어디를..,놀람
나이차가 좀 크네 ; 17살,놀람
어찌나 올만에 쓰는지..ㅋㅋ,공포
협상……,중립
왜 독립했는지 이해안감,중립
정말 쓰레기 같은 저 죄송합니다.,슬픔
"다 미안해, 다 내가 잘못했어, 정말 잘못했어!",중립
 어떻게 해아 하는겁니까?,공포
빨리 타.,중립
뭐? 진심으로 하는 소리야?,놀람
이와중에 이용규 삼진 숫자도 빛나네.. 맞추는 실력 하나는 정말짱인듯..,놀람
미안해.,슬픔
"야, 왜 그래? 매워? 설탕 좀 더 넣을까?",놀람
자기 몸 하나 건사하기도 힘든나라에서 애완동물 사치아님??,혐오
그러니까 앞으로 이런 일 있으면 나한테 숨기지 말고 말해. 내가 화난 건 그거야.,중립
내년 예산을 올해보다 올려 잡았던데 지금 같은 상황에서 그게 가능할까요? 다른 부서에서는 다들 낮췄던데.,중립
통일교비리는 수사하면 그들이가진 기업들의 세무비리와 세계일보의 만행이 모두드러난다.,분노
어... 연락...해 볼게…,중립
입만 열면 거짓말 뭘 믿겠나,혐오
 비싼애는 주변 인맥이 화려해서 파워게임에서 승산이 있다는건가.,놀람
앞으로도 10년은 유재석천하 일듯 싶다.,행복
"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어차피 신제품도, 이미 불량이잖아. 그거 배가른건지 안가른건지 모르잖아. 침수 시켜서 실험해야됨?",놀람
응8만큼 결말이 발이더라,혐오
방탈 죄송해요 ㅠㅠ,슬픔
 중국인관광객이란 말은 놔두고 짱깨말인 유커라고 쓰냐?,놀람
이과라고? 너 진심으로 하는 소리야?,놀람
남자친구가휴가나와도 친구들만만나고 저를잘만나주지안아요...,슬픔
난?,분노
 어떨 때는 아예눈물을 흘렸을 때도 있어요.,슬픔
다친 덴 없고..?,중립
1월까지 탄핵결정안되면 헌법재판소로 횟불을 갑시다,분노
 감사합니다,행복
인간이 되면 좋아하는게 뭔지 다 맞힐 수 있을까?,슬픔
당연히 물려야지 대기업에서 로봇생산 할꺼고 개념만있는 대통령이면 그세금으로 딴짓은 안할꺼니까 세금으로 복지에 써야한다,혐오
"웅~……. 앗! 아니아니아니, 그런 거 물어본 거 아냐! 그렇지만 뭐라 반박할 수가 없어……",중립
그나저나 우리 입사 동긴데 이야기도 몇 번 못 나눠 봤네.,중립
아..미안해요.,슬픔
그럴 순 없어요!! 난 형에게 평생 갚을 수 없는 빚을 졌어요!!,분노
만원.. ,중립
이모든것은 이씨조선 이 만들어낸 헬조선인것이다,분노
응. 왜 그녀석이 남자랑 페밀리 레스토랑에…,놀람
와 정말 부럽다.,슬픔
정신나간놈 큰사고 아닌걸 감사히 여겨라 멍청한인간아,분노
군비리 보면 군용테스트도 믿을께 못되지않을까싶다,분노
공휴일에는 항상 일하나요?,놀람
뭐냐?,놀람
이제부터 검찰을 똥찰이라고 부르겠다,분노
 안혼나고싶구 나만혼자인느낌이들어 서럽네요ㅜㅜ,슬픔
뭔 소리야? 혼날 이유가 전혀 떠오르지 않는데?,놀람
오빠야말로 왜 안하겠다는 건데요? 포기한다니까요? 오빠가 바라던거잖아요.,분노
박한철 얼굴이 박사모같아서 불안함.,공포
당황해서 ;;,놀람
소화가 안된다...,슬픔
대한민국에 전문가가 어디있냐??,분노
과연 기상청 1승 추가하나요,놀람
애들이 죽어가는데 일말의 동정심도 들지 않았던거냐?,분노
지문.. 안 나왔다면서.. 쪽지문 하나 나왔다며! 누구껀지 확인도 안됐다며!,분노
네?,놀람
나 다리 후들 후들 거리면서구루병 걸리는 줄 알았음.,공포
애기 낳으면 더 못 갈것같고..,슬픔
그래도 결혼추카추카해요 ㅋㅋㅋㅋㅋ,행복
일주일이 넘었는데 왜 안 올까요?,공포
희대의 매국노 변호사들이네,혐오
나라가 망한다는 징조가 곧 오구나,공포
아... 선생님!,중립
하지원 시크릿가든에 애착많은데 근라임이 떵물끼얹네,분노
전북이 헐크 막고5대0 승 했는디?,놀람
결혼 안하면? 그럼 누구랑 할건데?,놀람
너 꼴이 그게 뭐야? 어디 쓰레기통이라도 구르다 왔어?,놀람
아니 못 간다면 그런 줄 알지... 빨리 문 닫아.,혐오
저냥반이 정치할까봐 우려됨,혐오
입학취소뿐만아니라 깜빵을보내라,분노
"아니면, 기상청에 전화나 좀 해줘볼래?",중립
그리고 생일전에 깜짝선물로주는게나을까 아니면 그냥 직접 신겨보고 바로사는게 낫을까요?ㅠㅠ,공포
결국 정부에 상납하고 뒤봐주는거 아니냐...,분노
그 왜여자가 담배를 피면 기형아를 낳을 수가 있다라는 말이 있잖아요,공포
애초에 만드는거부터가 부실투성이니 여기저기 녹슬고 난리부터 나지...,혐오
우울증도 생긴거 같아요..,슬픔
사정이 있어서 몸은 못 달려왔어도 마음은 항상 따라다녔어. 누나가 그걸 못 보고 괜히 오해한 거야.,중립
자동차극장?,놀람
내가 식모야? 알아서 챙겨먹어.,분노
 다른사람만나고 있다고 그래도 한번 해보고 싶어요..,슬픔
거 못들은 걸로 해요. 기우겠지만 혹시 직원들한테 소문 날까봐.,중립
헤어진지 10개월상대방 프사보니 제가 옛날에 찍어준 사진이네요,놀람
미친것들!!,분노
홧김에 한 소릴 갖고. 쪽지 한 장 써놓고. 우는 애 두고. 가출 하니?!,분노
보는 눈이 썩어 투수 유원상 또는 야수 황목치승일것 같은데왠지 불안하다,공포
제가 8월초부터 지금 현재까지 5키로를 뺐어요!!!!,행복
까불지 마! 아무렴 어린애만 못하겠어?,분노
지금 당장 내려와야 해요! 헬기가 충돌했어요!!,놀람
 볼라벤 온줄,놀람
순실네하고 조용히 살지 대통령은 왜 돼서 국민 괴롭히니 나쁜x,분노
"진짜, 처음부터 끝까지... 자기 멋대로시네요. 이렇게 갑자기 휙 가버려요? 우린 어떡하라구요? 우리 학굔 어떡하라구요!",슬픔
다른 자격증 준비랑해도 괜찮을지...,공포
낮부터 약주를 하시면 어떻게 해요? 엄마 보시면 어떻게 하시려구?,중립
"야야야, 잠깐 기다려. 왜 그런 결론이 나온건지는 모르겠지만, 그 애가 널 좋아한다는 건 둔한 나도 알아.",놀람
"다...다 고마워… 우리 집에 이렇게 와 준 것도 고맙고… 그리고, 우리 식구들한테 상냥하게 잘 대해준 것도 고맙고… 그냥...내 앞에 이렇게 나타나 준거...그냥 다 고마워!",행복
꿩이 조류 인플루엔자에 걸렸다는줄...,놀람
돈 따서 니 밀린 세금 좀 내게 내기 좀 하자고!!,분노
등산하다가 호랑이 울음소리 들으면 오줌 지릴 듯..,공포
 이거 어떡하죠 ㅠㅠ0,공포
근데 선뜻 어느회사도 이력서를 못넣고있네요ㅠㅠ,슬픔
배째라고할땐 언제고 이제 못버티겠나보군. 이미 신용은 다 떨어졌는데,혐오
개구라청 왜케 변해 니기미 풀린다해서 약속 잡았는디,분노
제가 기억이나 날까요...,공포
오빠 이후로 다른남자를 못 만나겠어,슬픔
미세먼지는 잘 맞추는데 왜 날씨는 못 밎추나...이번엔 진짜겠지???,공포
와 코리안시리즈 재패의 기운이 엘지를 향해있다,행복
"어, 나 너랑 친구되는 거 정말 좋다.",행복
너는 진짜 그렇고 그런 면이 있다니까.,중립
냉대에 조금씩 묻을정도..,공포
엠씨더맥스콘서트보러간거,행복
무릎에 살이 너무많아요ㅠㅜ,슬픔
나혼자산다 송어축제때도 브로맨스 좋았는데~,행복
하.. 선생. 지금 나 놀리는 거지?,분노
이번에 홍콩으로 여행을 가는데기상청에서 비가 온다고 하네여,슬픔
제가 푼수라 잘 모르겠네요...,슬픔
우리는이런 넘을 쓰뤠기라 일컫는다~~~,분노
전업주부요,중립
태극기는 뭔 죄여....,슬픔
이런거 어케하면 물리칠수있음?/0,공포
빨갱이에 지지않는다,혐오
 막 아침에 머리를 안감고 가야되나싶고ㅋㅋㅋ,공포
그래도 보일러 안 깔아준것만도 다행이네,공포
 그뒤로 직장이 안구해지네요 ..,공포
그런 건 아니구요. 아는 분이 부탁하신 일이 있어서 그 일 좀 처리하구 있습니다. ,중립
카윗 아직 선수 생활하네요 와~,놀람
정말입니까...?,놀람
"그런가? 아, 예의상 물어보겠는데, 너는?",중립
종교인이 정치나 하고있으니 진짜 한심,혐오
생각해보면 브렉시트 반대한 콕스 의원은 진짜 허무한 개죽음 당한 것이네,분노
알바 끝났잖아요.,중립
누구랑 결혼 ?,놀람
 어깨한날은 어깨가 아프고 굿!,슬픔
안되 돌아와 항돈 ㅠㅠ,슬픔
 단지 내가 참고 견딜만한 사람을 원하는거지...,슬픔
  티비에서 허리 안좋은게 컨셉인지 실제 인지 모르겠지만 서른살 초반에 허리까지 아프다면야...,공포
모든 피 다 빨아 먹고 조건 걸어 수출도 못하게 하는 정부. .,혐오
선거? 어라? 지금쯤이면 선거는 다 끝난 거 아냐?,놀람
 근데 어제 갑자기 전화가 와서 뭐하냐고 묻더라고요,놀람
요즘 몸도 아프고 돈나갈때도 많아지고안그래도 힘든데 날씨까지 추워지니 지치네요,슬픔
"낼 여기 평택 강원도처럼 되면...ㄷㄷㄷ;;,",놀람
중원에 실바 이니에스타 부스케츤데 베라티도 안나온 이탈리아랑 비기네....,놀람
요즘 비행기 사건사고가 많네요... 고인의 명복을빕니다,슬픔
무협의 라는데 3개월 쉬다가 내년에 복귀하는 걸로...,공포
나중에 취업하거나 하는데 타투때문에 뭐 마이너스 되거나 그런게있나요?,공포
그냥 계약 자진해지하고 평생 푹쉬어라 먹튀새끼야,분노
면접보는게 너무 두려워요ㅠㅠ,공포
순실재산 국고로 환원되야합니다!!!,분노
왜? 왜 그렇게 사람을 노려보고 서 있어?,놀람
"대신 내가 원하는건 다 들어줘야 된다. 야, 여기 못 튀어나온거 찔리겠다. 이것 좀 박아줘.",중립
첫날 저녁에 식당이라며 연락왔고 그 이후론 연락이 안오네요,슬픔
와...진짜 소처럼일하네,놀람
고씨 암만 돈이 좋아도 그렇지 순시리가 뭐냐?,혐오
"그게 아니라, 그냥 궁금해서...아",중립
 개인적으러 이런곳은 안해봐서 떨림..,공포
이름도 간지,행복
순위90인데 음원 엄청높네,놀람
내 생일 선물인가바,행복
네?,놀람
본방사수 할께요^^,행복
무식해서 그래.......,슬픔
 거짓말 거짓이 드러난다 대통령.,분노
 21살 청년입니다..,공포
노브라로 있을때도 그 선들이 너무 아파서 매일 꾹꾹 눌러주거든요...ㅠㅠ,슬픔
왜 대답이 없어! 차 갖고 오라고 차!,분노
김성근 감독님은 코치 없어도 본인이 다 할수 있으신데 뭐가 문제죠?,혐오
백주부님 항상 응원합니다.,행복
이정도면 싸이코패스 인가?,놀람
"아라찌~""그럼 알아들은건지 네~하구 대답은 하더라구여..ㅋ",공포
경제사범 임종룡 유일호 끌어내라,혐오
"하나님 믿어도, 순시리랑 박그네 졸라게 빨아대는 목사가 역겨워서 교회 안가고 싶다.",분노
"아 ㅠㅠ,,떨려",공포
기자야 FA는 오바아니냐,놀람
희망두 없구...,슬픔
지켜보다 애가 죽었으면 그땐 아이도 죽고 고릴라도 죽고.,공포
갑자기 왜 그만 만나고 싶어요? 왜? 헤어질때까지 저 좋다고 난리던 사람이 갑자기 제가 싫어 졌다는거에요? 말이돼요 그게?,분노
뭔데요?,중립
본다면 어쩔 건데요? 웃기는 아저씨야 증말!,분노
아무나 장관하네.,놀람
저 같은 신입 사원도 큰돈을 장만할 수 있을까요?,중립
"그 여자랑 살 집 얻었대. 그런데, 거기가 너무 초라해서 귀한 여잘 그런 곳에서 살게 하기가 싫어서... 꽃단장 하러..갔어.",중립
대체 왜지?,놀람
제목에 쓰나미 써 있으니 오히려 더 걱정되네요;;,공포
 3달이다되어가는데 시간이약맞나요?,슬픔
제가 뭔가 실수한게 있는걸까요,공포
"내 딴에는 열심히 일해서 모은다고 모은 건 데, 얼마 안되지.",중립
자식들보기 안부끄러운가,분노
현실망각자 또라이 닥년과 그졸개들 구속처벌합시다,분노
짱께들은 동물학대도 차원이ㅜ다르네,분노
당연히 올 수 있지.,중립
부상중인가?,놀람
복이가 보낸 웹진기사 읽고 나니가슴이 따뜻해지네....,행복
헉....그럼 wbc출전 못하나...ㅠㅠ,슬픔
야...너 왜 이래?,중립
"스웨터나 가디건이라면 교복 위에 입을 수 있으니, 학교에서도 입을 수 있지 않을까 싶은데~",중립
왜 박근혜월급주냐 내세금아깝다,분노
뭐가 제 맘대로예요? 아버지 맘대로 다 하셨지.,분노
Yg나 sm은 그렇다쳐도 jyp는 전소미로 이득봤으면서 이제는 먹고 튀겠다는거임?,분노
 컴퓨터 잘 아시는분 ㅠㅠ괜찮은가요???,공포
지가 힘든게 뭐있다고 ㅉㅉ,혐오
그래도요. 이게 뭐예요. 이렇게 다쳐 가지고,슬픔
또는 공부하는 거 빼고 다..시간아까운 거 ..불안하고 .. ㅜㅜ,공포
종신형은 무슨 서울호텔 집사 구치소장이랑 평생 국민세금으로 지낼려규??,혐오
나온 김에 뭐 먹고 들어갈까?,행복
세상에서 제일 편하게 살고있는 김치년을 더 편하게 만들자는 이 취지의 밑바닥은 어디란 말이요,분노
그 냄새 때문에 벌래가 없나..,놀람
와~ 미리 가방 싸둬야지~ 근데 뭘 싸?,행복
백종원의 수호천사인 기자?,놀람
캐리녀 재밌어용!!,행복
이분이 여기 댓글 다신분들의 워너비임?,놀람
헉. 수입산 달걀이라니..,놀람
저도 사람인데...,슬픔
덜컥 너 임신했어... 지울 수도 없고. 어떡해.,중립
"나 너무 답답해서... 누구하고라도 얘기하고 싶은데, 말할 사람이.. 없다...",슬픔
 진쨔 한번보면 눈물이 펑펑나올것같네욤ㅎㅎ,행복
누군가 메뚜기는 빨갱이라고 G랄발광하겠군,분노
집필진 공개도 못하는 역사서가 말이 되나?,분노
어쨌든 소득이 있다는 사실은 변함이 없지.,중립
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 최저 인금 인상 안시킨다고 노동자 뒷통수 때렸다고 욕하는 미개한 한국인들 보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,혐오
뭐? 그게 무슨 소리야?,놀람
근데 너 우리 집엔 웬일이야? 무슨 일 있어?,놀람
아무것도 모르던 저 데리고 일 하시느라 너무 고생하셔서...,슬픔
"자, 잠깐만요. 저 지금 좀 혼란스럽거든요?",놀람
"여기까지면 충분해, 이제 역이니까. 바래다 줘서 고마워.",중립
"저렇게 착한 여자친구한테 그러면 안되지, 내가...",중립
아버님.,중립
네?,놀람
나 정말 아니라니까! 정말 아니라구!,분노
메시와 네이마르를 지켰지만 피케가 떠납니다...,슬픔
 딱 한번 나온 미용실 원장님의 아우라 또한 잊혀지질 않네요.ㅎㅎㅎ~~~,행복
내년이면 마법사가 되는 내가 막아주마.,놀람
"잘 먹겠습니다, 우와아아!",행복
신부님 고맙습니다.,행복
이러다가 히키코모리(?) 되는게 아닐까 싶네요,공포
가진자들 약탈합시다.,혐오
제 남친만 이러는건지..,공포
어서 일어나요.,놀람
"약도 잘먹고, 말도 잘 듣고, 참 착하다.",중립
국정화 개 갔다 줘라.개가 씹어 먹어 버리게...,분노
그 자신감.,놀람
이그룹 안되겠네 토니안부터 해서 어린애들만 노리고,혐오
똑바로 하란 말야! 똑바로! 방금도 봐! 끼어들기 하면서 깜빡이를 왜 안 켜? 깜빡이를!,분노
외국에서는 이거 보고 난리났던데..ㄷㄷ,놀람
어제 다녀왔는데 진짜 서로 나서서 쓰레기 치우는모습 너무 감동이었습니다,행복
주인공들 모두 서로서로 캐미가 터지는듯 ㅋㅋㅋ,행복
네?,놀람
 아니면 내가 그만큼 좋아하지 않았나..?,슬픔
반대한다 제주 도둑넘들아,분노
에헤..아까 그렇게 다쳐놓고 또 밀고 싶었냐? 진짜.. ,중립
뭔가 하는행동이 김상혁하고 평행이론이 느껴진다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,행복
"……. 아아, 안녕. ...왜 그래?",놀람
서류라기보다는 편지...라고 보셔도 됩니다.,중립
또 실패하면 파란색 색소 넣는 거 아니야?,중립
 더 많이 사랑합니다.,행복
짱깨들은 어딜가든 그나라의 격이 떨어져.,혐오
이런데서도 남혐. 역시 남혐민국.,혐오
저 나름 심각한 일이 있어서요ㅜ,슬픔
"아 ~ 열받네!저런 저질, 쓰레기중에 쓰레기.",분노
네?,놀람
 미친 것들.,분노
빙딱들아 됀히 해경 어린애들 골병들게 하지 말고,분노
응.,행복
전 김치를 안 먹어서..누나 드실 거면 꺼내드릴게요.,중립
"뭐야, 임마?",분노
네. 다음 솜방망이 처벌. 뻔하지. 제길,혐오
와 범죄를 경기가치 따져가면서 처벌을 하네ㅋㅋㅋㅋ,놀람
둘다 감옥이나 쳐가라.,혐오
외모도 외모인데 2016년맞아? 스타일 왜이리 구려? 북한인줄,놀람
세탁기 사용법도 익혀!!,분노
넌 누구 좋아하는 사람 없어?,중립
이쯤되면 자작극 아녀 ㅎㅎ,혐오
박사모 진짜 죽 탱이 날려버리고 싶다,혐오
개누리당은 6개월 아니 이제 60년이지나도 너희들은 절대로 다음국회에선 얼굴 볼일없겠다,분노
제가 사죄의 의미로 오늘 밥을 사겠습니다.,중립
그럼 나두 오늘 아무 것도 안한다.,중립
팔 떨어지겠네. 그만 떠들고 카드나 좀 받지,중립
맛있네 ,중립
감독이랑 선수들 세워놓고 한명씩 명존쎄 해도 분이 안풀릴거 같아,분노
정말 놀라워. 어떻게 같은 흙으로 이렇게 만들 수 있지?,놀람
뭐예요 그거 뭐 꼬시기라도 하시는 건가요 죄송해요 너무 노린 거 같은 게 기분 나빠서 무리예요.,놀람
무슨 말을 하고 싶은 거야?,중립
KBO산 배팅머신의 위엄,행복
 제가 제 눈물을 주체할 수가 없어요,슬픔
그런데 결혼식할때 어떻게 해야 할지를 모르겠습니다.,공포
우리 세금으로 이런놈 밥을 평생 먹여야 하나요?ㅠㅠ,분노
전원책이 대통령되면 꼭 저럴것같다.,공포
네?,놀람
무슨 사진을 그렇게 보냐?,중립
ㅋㅋㅋㅋ들켰다,놀람
손은 괜찮으세요?,중립
둘 중에 하나만 택해야하면 뭘 할래?,중립
6시전에 먹는건 점심아냐?,놀람
시리고 시린 겨울나무가 된 것 같아 고민0,슬픔
"뭐, 그럭저럭.",중립
500년.,중립
무턱대고 뛰쳐나온거이 왜이리 후회되든지....,슬픔
재석씨재석씨(오빠)하루라도안보면 미추어버릴것같아요진짜ㅠㅠ,슬픔
황교안 대통령 권한 대행님이 무섭긴 무서운모양입니다 !,놀람
이런걸보면 경제는일류인데 정치는 삼류다,분노
복사폰이라몀 범죄목적인건데어떤말을 지어내고 뻘소릴하나잘들어줄게요 ㅋㅋㅋㅋ,분노
변호사를... 왜 그렇게 싫어해?,슬픔
최순실이 15년 이상 못산다면 이나라 그저 개돼지 밖에 안남는다.,분노
정말 빡치네요!,분노
"아이 그러지 마시고, 우리 애 좀 봐 주세요. 네? ",중립
너.. 취했어?,놀람
"저기- 그냥 그렇게 됐다니? 다른 일도 아니고, 우리 딸 결혼 이야기를 나는 이런식으로 그냥 지나가란 거예요?",놀람
뭐든걸 다 금지하는 나라,분노
너..지금 아무 증거도 없이 저 햇병아리가 나불대는 말도 안되는 소설 따위 믿고 이런 거야?!,분노
아~,중립
잡을 수 있었단 말이야. 왜 총을 못 쏘게 해?,분노
오호 역시 사람일은 모르는거군,놀람
수고하셨습니다 고영민선수!,행복
알았어요. 아직은 비밀 커플이니까.... 음… 발사진 찍어요!!! ,중립
그들만의 데모군중-친노친문/민노총/절라디언/전교조와 따라댕기는 꼬맹이들의 그들만의 잔치,혐오
레알은 벌받는다 레퀴벌받아라,분노
정말 기쁨돠⊙.,행복
화가 난다... 돈 때문에 뭐하냐. 쯧쯧,분노
지금 무슨 말씀 하시는 거예요?,놀람
이젠 예보를 하는건지 중계를 하는건지 그것도 아니면 그냥 씨부리는건지 구별이 안감,분노
조리장이 알 정도인데 다른사람들은 몰랐다??,혐오
엑소 팬들 극성인 건 알아줘야...,혐오
흠… 나는 이쪽 네모난 쪽이 더 좋은데.,중립
대구인데 너무 추워서 고민.,슬픔
몰라~,중립
나는 이제 니 여자친구야 너랑 나랑 짝이다.,행복
뭐라고요?,분노
새벽에 메시지 남기셨던데.. 혹시 저 넘어지는 소리에 깨신거예요? 아 진짜 안 깨울려고 그랬는데.. 죄송해요..,중립
진료 받은거 맞아요??,놀람
마지막인데 좀 좋은 소리 하면 안돼?,슬픔
옥중화에서 갑자기 신뢰도가 훅......,슬픔
갑자기 왜 그러는데?,놀람
사투리 엄청 재밌다. 방언을 직업적으로 연구하면 재미있을 거 같아.,중립
"마약사범을 죽여야지 용의자를 수사도 안하고 그냥 막죽이는게 옳다니 ㅡ.,ㅡ OOO들",혐오
근데 넌 네 잘못 가리기 급급하더라?,분노
국내 최고의 왼손 중거리타자.,행복
일본 쪽바리 클라스 답없네....,놀람
주위에선 기다려라는데 기다리는게 답일까요.?,공포
해운대 실사판인가 개무섭,공포
안 변할 수도 있잖아. 왜 기분 나쁘게 바뀌는 게 당연하다는 듯이 이야기해?,분노
이럴때 하라고 기립박수가 있는겁니다!!!,행복
그냥 과적으로 홀로 되집어젔다~~,슬픔
어. 그래야지. 내가 뭔지 모르는 사람들 사이에 섞여 있으니까 너무 편하고 좋아.,중립
무슨 소리를 하는 거야? 네가 평범하다고? 전교 일등을 밥먹듯이 하는 애가 어딜 봐서 평범해?,놀람
왜 오래살까?? 그것은 자외선을 쬐지 않기 때문에.. 인간도 자외선을 쬐지 많으면 오래살수 있다,중립
안봐도 뻔한 처분에 발가락 3개나 잘린 병사의 인생은 고작 돈 몇푼에 끝나겠지,슬픔
박근혜스럽.박근혜스럽.,분노
중3남학생 글씨군..,중립
이제는 신혼부부도 전부 노산이라서 임신이 안되는겁니다.....,슬픔
이건 아주 좋은 발상이다,행복
뭐??!!,놀람
삼족을 멸하지를 못하는게한스럽다.,분노
잘참고있었고 보내주어야된다고 다짐하고갑자기 지금 울음이터진다답답하다,슬픔
제발 탄핵시키자,혐오
재석오빠.오빠...........!,행복
이걸로 또 한 달 우려먹다가 이적하는거 아님??,놀람
근데 지금 정말 아랫배가 뒤틀리고 쥐어짜듯이 너무 아픕니다..,슬픔
임창용 세이브 올리면 우리나라 최고령 세이브 아닌가요?,놀람
아가씨 부탁 때문만은 아니었다. 집을 떠나있는 동안에도 내내...도련님이 걱정이었지. 원래 심성이 여리디 여린 분인데 자라면서 난폭해지는 걸 막을수가 없었다. ,슬픔
이대는 추락했다 바큰헤ㅣ가 나라를 비아그아로,분노
"집이 없어? 아니 세상에 집이 없는 사람이 있어요? 돈이 없는 것도 아니고, 왜 집이 없어? ",놀람
더 이상한 건요! 제가 조건을 속였다구. 여자분이 거짓말을 했더라구요.,중립
악재를 털어?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,놀람
어딜가나 저런것들이 있구먼..ㅡ.ㅡ,분노
미쳤어? 무슨 일부러 밟아. ,분노
미안해. ,중립
맞아요!! 안되겠죠?! 아줌마!!,분노
일단 제 사진ㅠㅠ,슬픔
나 보고 하는 소리예요?,놀람
내가 빨리 사장해야지 원.,중립
김종민 상받는데 짠하다,행복
... 기특해서. 귀여워서. ,행복
그럼 한 명씩 붙잡고 말하던가!,분노
PD가 아이유 연기천재라 해서 더 독이 됨....,놀람
지금 가장 인기있는 영화를 보는 게 좋지 않을까?,중립
자고 있어. 잠깐 나갔다 올게.,슬픔
알파고 수입하고 기관사들 다짤라라 철밥통 공기업놈들,분노
예?,놀람
상상못할정도는 아니지않나..ㅋㅋㅋ ㅈㅅ,슬픔
20일 날 새벽 2시경에 어디에 계셨습니까?,중립
그거 어디 있습니까? ,분노
뽕쟁이 주제에 은근슬쩍 넘어 갈라고 하네,혐오
순실이라고 ????,놀람
나이스전북진거 ㅊㅋㅊㅋㅊㅋ,행복
내 눈은 7 세 개를 맞추기 위해서 있다 이거야. 약 들어간 멍청이 찾기는 다른 녀석이 할 일이지.,중립
댓글달아주셔서 고맙습니다.,행복
염병하네!염병하네!염병하네!,분노
잠깐만 여왕이 졌다고???? ㅋㅋㅋㅋㅋ,놀람
아니! 지금 저 취조 하시는 거에요?,분노
그만해요~,중립
 그네랑 탄핵동기 친목계 해라.,혐오
백주부님  감사합니다.~~~^^,행복
네?! 저보고 가스를 마시라구요?!,놀람
아는형님 재밌게보고있어요!! 이렇게 좋은일을 하시는걸보면 영철님은 정말 마음이 따뜻한사람같아요! 앞으로도 좋은활약 기대합니다~~,행복
내가 예뻤다면 넌 나를 좋아했겠지,슬픔
네 제품을 포장하는 일인데 시부터 시까지 근무하고 주말에는 쉬어요.,중립
헬조선 미개한 개돼지 가축같은 시민의식 국민은 딱 그 수준에 맞는 정부를 가진다ㅋㅋ못사는 사람들은 다 이유가 있음ㅋㅋ,혐오
죽을꺼같아요..,슬픔
진심 지석진이 부럽더라. 진짜로 진심,슬픔
"그러고보니 네 이름, 유명한 소설가의 이름이랑 같은 거 같네.",중립
도둑놈~,분노
